product_id,product_name,category,sub-category,sub_category
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,High
OFF-LA-10000240,Self-Adhesive Address Labels For Typewriters By Universal,Office Supplies,Labels,Low
FUR-TA-10000577,Bretford Cr4500 Series Slim Rectangular Table,Furniture,Tables,High
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Low
FUR-FU-10001487,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,Low
OFF-AR-10002833,Newell 322,Office Supplies,Art,Low
TEC-PH-10002275,Mitel 5320 Ip Phone Voip Phone,Technology,Phones,High
OFF-BI-10003910,Dxl Angle-View Binders With Locking Rings By Samsill,Office Supplies,Binders,Low
OFF-AP-10002892,Belkin F5C206Vtel 6 Outlet Surge,Office Supplies,Appliances,Medium
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,High
TEC-PH-10002033,Konftel 250 Conferenceâ Phoneâ - Charcoal Black,Technology,Phones,High
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,Low
OFF-BI-10003656,Fellowes Pb200 Plastic Comb Binding Machine,Office Supplies,Binders,Medium
OFF-AP-10002311,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",Office Supplies,Appliances,Low
OFF-BI-10000756,Storex Duratech Recycled Plastic Frosted Binders,Office Supplies,Binders,Low
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",Office Supplies,Storage,High
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,Low
OFF-AR-10003056,Newell 341,Office Supplies,Art,Low
TEC-PH-10001949,Cisco Spa 501G Ip Phone,Technology,Phones,Medium
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,Low
OFF-AR-10000246,Newell 318,Office Supplies,Art,Low
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,Low
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,Low
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,Low
TEC-AC-10003027,Imationâ 8Gb Mini Traveldrive Usb 2.0Â Flash Drive,Technology,Accessories,Low
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,High
OFF-BI-10000474,Avery Recycled Flexi-View Covers For Binding Systems,Office Supplies,Binders,Low
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,Medium
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,Low
OFF-AR-10004042,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,Low
OFF-BI-10001525,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",Office Supplies,Binders,Low
OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,Low
OFF-PA-10000249,Easy-Staple Paper,Office Supplies,Paper,Low
TEC-PH-10004977,Ge 30524Ee4,Technology,Phones,High
FUR-FU-10003664,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,Medium
OFF-EN-10002986,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,Medium
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,High
FUR-CH-10004218,"Global Fabric Manager'S Chair, Dark Gray",Furniture,Chairs,Medium
TEC-PH-10000486,Plantronics Hl10 Handset Lifter,Technology,Phones,Medium
TEC-PH-10004093,Panasonic Kx-Ts550,Technology,Phones,Medium
OFF-ST-10003479,"Eldon Base For Stackable Storage Shelf, Platinum",Office Supplies,Storage,Low
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,Low
TEC-AC-10000171,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,Low
OFF-BI-10003291,Wilson Jones Leather-Like Binders With Dubllock Round Rings,Office Supplies,Binders,Low
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Black",Office Supplies,Storage,Medium
TEC-AC-10002167,Imationâ 8Gb Micro Traveldrive Usb 2.0Â Flash Drive,Technology,Accessories,Low
TEC-PH-10003988,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Apple Iphone 5C Mini Lite",Technology,Phones,Low
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",Office Supplies,Binders,Low
OFF-LA-10002762,Avery 485,Office Supplies,Labels,Low
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,Low
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,Low
OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,Low
TEC-PH-10002447,At&T Cl83451 4-Handset Telephone,Technology,Phones,High
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,Medium
OFF-PA-10001569,Xerox 232,Office Supplies,Paper,Low
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,Medium
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,Low
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,Low
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,Low
TEC-AC-10004633,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,Low
OFF-BI-10001078,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,Low
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,Medium
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,Low
FUR-CH-10001146,"Global Value Mid-Back Manager'S Chair, Gray",Furniture,Chairs,Medium
OFF-AR-10002671,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,High
TEC-PH-10002726,Nettalk Duo Voip Telephone Service,Technology,Phones,Medium
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,Low
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,Low
OFF-PA-10004675,"Telephone Message Books With Fax/Mobile Section, 5 1/2"" X 3 3/16""",Office Supplies,Paper,Low
FUR-CH-10000513,High-Back Leather Manager'S Chair,Furniture,Chairs,High
FUR-FU-10003708,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36"" X 48""",Furniture,Furnishings,Low
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,Low
OFF-BI-10004182,Economy Binders,Office Supplies,Binders,Low
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,Low
OFF-ST-10000615,"Simplifile Personal File, Black Granite, 15W X 6-15/16D X 11-1/4H",Office Supplies,Storage,Low
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,Low
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,Medium
OFF-BI-10002309,Avery Heavy-Duty Ezd  Binder With Locking Rings,Office Supplies,Binders,Low
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 By Central Association For The Blind",Office Supplies,Art,Low
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,Low
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,Medium
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,Medium
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,Medium
TEC-AC-10001998,Logitechâ Ls21 Speaker System - Pc Multimedia - 2.1-Ch - Wired,Technology,Accessories,Low
